id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
FGjJ31YtZ342frFpQF1q,sábado,13:44:09.243000,"13:47:24,120","13:47:35,094","13:49:08,804",Tarjeta,Tocó insertar la tarjeta porque no pasó por NFC y se volvió a dañar el datáfono 
sz3vnTypMXyOYMscrrXR,sábado,14:15:17.971000,"14:15:19,797","14:15:38,085","14:15:44,653",efectivo,La cajera le esta
hWcUr9rDRzLWm6IfTxpg,sábado,12:58:51.594000,"13:00:21,780","13:01:04,057","13:02:56,523",efectivo,La cajera se demoró porque estaba apoyando en cocina
fBxtODZlFdxECH1TfGTo,sábado,12:04:12.498000,"12:05:29,036","12:05:34,853","12:05:40,458",efectivo,
EaNCykVQWn692KrTUpML,sábado,14:08:16.084000,"14:09:20,322","14:09:48,022","14:10:06,727",Tarjeta,
EaGMC7pF3ZYVfGYpqskE,sábado,14:20:13.717000,"14:20:33,942","14:21:17,201","14:23:08,262",Tarjeta,
ESq6Z0gDeLt9mpX6OWsp,sábado,12:47:08.598000,"12:47:22,844","12:47:26,058","12:47:45,113",efectivo,
EQ8Gb5R8ZMyTF1BnJY8o,sábado,12:08:30.945000,"12:10:12,430","12:10:46,398","12:10:49,376",Tarjeta,
EO6cg56iXyGRlZBLbKb5,sábado,14:27:19.767000,"14:27:34,075","14:27:56,607","14:28:09,155",Tarjeta,
tMxC0CUEywJXvLBp7ya6,sábado,14:34:32.996000,"14:36:36,038","14:36:45,502","14:37:04,647",Tarjeta,
fn5LWxXpreb2IHrIHJaM,domingo,14:07:15.584000,"14:09:13,670","14:09:31,235","14:09:43,230",efectivo,
hw79ZxfuAOTPNMndFzen,domingo,13:37:24.046000,"13:37:27,867","13:37:46,014","13:37:53,970",efectivo,
h5MNS9zjysWrsSBZUAoH,domingo,14:41:11.070000,"14:46:48,833","14:47:05,612","14:47:19,499",Tarjeta,
fto70APgkTQTtTrt4zfl,domingo,14:01:57.998000,"14:05:30,427","14:05:46,154","14:06:05,544",efectivo,
giRncRax62eSjHPaCZyM,domingo,13:52:15.859000,"13:55:48,627","13:55:57,787","13:56:10,210",efectivo,
gn5mLwIuPUWA7EoZrQOc,domingo,14:09:56.707000,"14:11:45,395","14:12:19,997","14:12:56,602",Tarjeta,
juL9mEiOovWXpR0LFNTm,domingo,13:20:43.188000,"13:23:47,958","13:24:17,555","13:24:57,631",efectivo,
